"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.980702125E0,-9.351558983E-2,-3.674541041E-2,-3.143082857E-1
2.990715125E0,-1.104016006E-1,3.527024388E-2,-2.802161276E-1
3.000729125E0,-1.030070633E-1,1.242342070E-1,-2.411182672E-1
3.010743125E0,-8.861133456E-2,2.044821978E-1,-1.933857203E-1
3.020756125E0,-5.766354129E-2,2.564918697E-1,-1.551919878E-1
3.030770125E0,-1.840481907E-2,2.816137075E-1,-1.173039973E-1
3.040784125E0,3.594364226E-2,2.879933119E-1,-8.703637123E-2
3.050797125E0,8.078438789E-2,2.964631915E-1,-6.190713495E-2
3.060811125E0,1.057326198E-1,2.859093249E-1,-4.369936883E-2
3.070824125E0,1.187589839E-1,2.604950070E-1,-3.402294219E-2
3.080838125E0,1.197291687E-1,2.205001563E-1,-2.375379205E-2
3.090852125E0,1.141832620E-1,1.492656022E-1,-9.397068992E-3
3.100865125E0,1.149803549E-1,1.027401760E-1,1.457404345E-2
3.110879125E0,1.226122752E-1,7.760126889E-2,5.022841692E-2
3.120893125E0,1.370918602E-1,6.684049964E-2,8.480796218E-2
3.130906125E0,1.340210289E-1,6.136577949E-2,1.262351274E-1
3.140920125E0,1.154486760E-1,8.111285418E-2,1.642975509E-1
3.150934125E0,1.042803973E-1,1.657630801E-1,2.210709900E-1
3.160947125E0,8.852460235E-2,2.817789018E-1,2.883118093E-1
3.170961125E0,5.738648027E-2,3.771787882E-1,3.478521407E-1
3.180975125E0,3.357334062E-3,3.958728611E-1,3.763764501E-1
3.190988125E0,-8.123739809E-2,3.230413496E-1,3.630028963E-1
3.201002125E0,-1.698956192E-1,2.106175870E-1,3.299831748E-1
3.211016125E0,-2.383507490E-1,9.094310552E-2,3.025486469E-1
3.221029125E0,-3.026730120E-1,-2.658165991E-2,2.832921743E-1
3.231043125E0,-3.453393579E-1,-1.481406987E-1,2.674465179E-1
3.241056125E0,-3.804664314E-1,-2.610291541E-1,2.461665273E-1
3.251070125E0,-3.926028311E-1,-3.550989330E-1,2.355659306E-1
3.261084125E0,-3.432528377E-1,-3.461126387E-1,2.550173700E-1
3.271097125E0,-2.401897311E-1,-2.285111248E-1,3.211035728E-1
3.281111125E0,-9.676012397E-2,-4.545048252E-2,4.124105871E-1
3.291125125E0,6.506227702E-2,1.190318540E-1,5.032123327E-1
3.301138125E0,1.930207759E-1,2.177459151E-1,5.667497516E-1
3.311152125E0,2.897637188E-1,2.583637834E-1,5.944389105E-1
3.321166125E0,3.475995958E-1,2.522334456E-1,5.879408121E-1
3.331179125E0,3.733021915E-1,2.169011086E-1,5.559794903E-1
3.341193125E0,3.702254295E-1,1.637963504E-1,5.209509730E-1
3.351207125E0,3.311140537E-1,1.012092829E-1,4.830662608E-1
3.361220125E0,2.561732531E-1,2.334804274E-2,4.290783703E-1
3.371234125E0,1.539412439E-1,-6.680412591E-2,3.689097762E-1
3.381248125E0,2.936735749E-2,-1.444517821E-1,2.920182049E-1
3.391261125E0,-8.593605459E-2,-1.914052814E-1,2.082475424E-1
3.401275125E0,-1.723058224E-1,-2.037937790E-1,1.197887808E-1
3.411288125E0,-2.223984748E-1,-1.718378514E-1,5.364954099E-2
3.421302125E0,-2.234698683E-1,-9.513296187E-2,9.473557584E-3
3.431316375E0,-1.915160716E-1,7.449677214E-3,-1.290993299E-2
3.441329375E0,-1.450769305E-1,1.091827005E-1,-7.528483868E-3
3.451343375E0,-1.113005802E-1,1.780356765E-1,1.309739053E-2
3.461357375E0,-8.921551704E-2,1.948926747E-1,3.442052007E-2
3.471370375E0,-6.925712526E-2,1.847346574E-1,5.194423348E-2
3.481384375E0,-4.862401634E-2,1.565818489E-1,6.155105308E-2
3.491398375E0,-2.935353294E-2,1.203354672E-1,7.255817950E-2
3.501411375E0,-1.266829483E-2,9.133071452E-2,7.051127404E-2
3.511425375E0,8.328650147E-3,6.582902372E-2,5.410177633E-2
3.521439375E0,3.697068244E-2,2.656950057E-2,3.168834373E-2
3.531452375E0,7.747083902E-2,-3.487619758E-2,-4.746868741E-3
3.541466375E0,1.206183136E-1,-1.039418131E-1,-3.017286584E-2
3.551479375E0,1.523961276E-1,-1.722318083E-1,-3.766160086E-2
3.561493375E0,1.715109646E-1,-2.088260353E-1,-3.687756881E-2
3.571507375E0,1.879559457E-1,-2.312900126E-1,-3.722440824E-2
3.581520375E0,2.158757150E-1,-2.231748253E-1,-4.433158785E-2
3.591534375E0,2.608081996E-1,-1.826474220E-1,-5.490879714E-2
3.601548375E0,2.962761521E-1,-1.455650330E-1,-6.445889175E-2
3.611561375E0,3.159482181E-1,-1.340201944E-1,-8.940257877E-2
3.621575375E0,3.146470189E-1,-1.327192336E-1,-1.143438816E-1
3.631589375E0,2.830600739E-1,-1.459668428E-1,-1.383425891E-1
3.641602375E0,2.092252821E-1,-1.602813303E-1,-1.601682603E-1
3.651616375E0,1.142390594E-1,-1.717686653E-1,-1.884471774E-1
3.661630375E0,2.162151597E-2,-1.383156478E-1,-2.131594568E-1
3.671643375E0,-3.704247251E-2,-7.488615066E-2,-2.443621457E-1
3.681657375E0,-5.052951723E-2,1.378299668E-2,-2.462884188E-1
3.691670375E0,2.762472257E-3,1.469502449E-1,-2.194107622E-1
3.701684375E0,1.140621006E-1,2.928778827E-1,-1.581764221E-1
3.711698375E0,2.264856249E-1,3.488530815E-1,-8.098331839E-2
3.721711375E0,3.137422502E-1,2.940934300E-1,-8.280277252E-4
3.731725375E0,3.494310975E-1,9.207548946E-2,5.458944291E-2
3.741739375E0,3.420858085E-1,-2.018733174E-1,6.194615364E-2
3.751752375E0,2.864551544E-1,-5.312394500E-1,2.099146321E-2
3.761766375E0,1.843346655E-1,-8.165881038E-1,-7.441309094E-2
3.771780375E0,4.295408726E-2,-9.825193286E-1,-1.979301423E-1
3.781793375E0,-1.548958719E-1,-9.947016239E-1,-3.374854028E-1
3.791807375E0,-3.625336289E-1,-8.528190255E-1,-4.683460891E-1
3.801821375E0,-4.834328890E-1,-5.805813670E-1,-5.582379103E-1
3.811834375E0,-4.722560644E-1,-2.653647065E-1,-5.883284211E-1
3.821848375E0,-3.259894252E-1,4.498035833E-2,-5.592573881E-1
3.831861375E0,-1.030971110E-1,2.686172724E-1,-4.817054868E-1
3.841875375E0,1.192201078E-1,3.319062293E-1,-3.919433653E-1
3.851889375E0,2.862449288E-1,2.425676733E-1,-3.062060773E-1
3.861902375E0,3.748991489E-1,6.977565587E-2,-2.327190787E-1
3.871916375E0,4.030953348E-1,-1.034285352E-1,-1.604714841E-1
3.881930375E0,3.711712062E-1,-2.212393135E-1,-1.154230535E-1
3.891943375E0,2.907425463E-1,-2.682592869E-1,-1.112638339E-1
3.901957375E0,1.725450605E-1,-2.407104820E-1,-1.479933560E-1
