"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.715454375E0,-2.869532776E-1,2.893033905E0,1.208586731E1
3.725467375E0,-3.896397400E-1,3.136577454E0,1.193677734E1
3.735481375E0,-4.556524658E-1,3.373684387E0,1.187091431E1
3.745494375E0,-4.876858521E-1,3.643722839E0,1.182016983E1
3.755508375E0,-2.525248718E-1,3.809278564E0,1.178394516E1
3.765522375E0,1.528321838E-1,3.787573700E0,1.173290131E1
3.775535375E0,6.008505249E-1,3.638334045E0,1.162362854E1
3.785549375E0,1.046324158E0,3.313509521E0,1.149863846E1
3.795563375E0,1.386267242E0,2.801274719E0,1.152483398E1
3.805576375E0,1.476978607E0,2.304008789E0,1.156435181E1
3.815590375E0,1.467997284E0,1.756746826E0,1.161554535E1
3.825604375E0,1.312171326E0,1.221909027E0,1.145822250E1
3.835617375E0,9.575587463E-1,8.913963318E-1,1.114537308E1
3.845631375E0,4.679269409E-1,7.488926697E-1,1.075737991E1
3.855645375E0,3.562591553E-2,6.656657410E-1,1.022718246E1
3.865658375E0,-1.784289551E-1,6.559359741E-1,9.591753845E0
3.875672375E0,-2.188449097E-1,7.568261719E-1,8.930429077E0
3.885685375E0,-1.345701599E-1,9.674382019E-1,8.288563843E0
3.895699375E0,9.011260986E-2,1.173559570E0,7.774383087E0
3.905713375E0,3.397933960E-1,1.336271210E0,7.342830505E0
3.915726375E0,5.255570984E-1,1.451980591E0,6.956633606E0
3.925740375E0,6.011499023E-1,1.543440399E0,6.711144104E0
3.935754375E0,5.598358154E-1,1.617536316E0,6.619833984E0
3.945767375E0,4.981640625E-1,1.683998108E0,6.659501495E0
3.955781375E0,4.502636719E-1,1.728904724E0,6.829098816E0
3.965795375E0,4.281097412E-1,1.730551300E0,7.107968903E0
3.975808375E0,4.761598206E-1,1.679357758E0,7.322323151E0
3.985822375E0,5.307962036E-1,1.619631958E0,7.504194946E0
3.995835375E0,5.231620789E-1,1.634451141E0,7.560777283E0
4.005849375E0,4.843927002E-1,1.664239197E0,7.483088837E0
4.015863375E0,4.149371338E-1,1.782044220E0,7.408543854E0
4.025876375E0,3.122506714E-1,1.975142670E0,7.330705719E0
4.035890375E0,2.564167786E-1,2.182162170E0,7.138505402E0
4.045904375E0,1.989363098E-1,2.399510193E0,7.042704620E0
4.055917375E0,9.011260986E-2,2.567460938E0,6.995253296E0
4.065931375E0,-3.772155762E-2,2.745291138E0,7.033423920E0
4.075945375E0,-1.722917175E-1,2.967429199E0,7.116950226E0
4.085958375E0,-2.935395813E-1,3.096460876E0,7.195686493E0
4.095972375E0,-4.266128540E-1,3.242557068E0,7.341333618E0
4.105986375E0,-5.498066711E-1,3.439996490E0,7.558531952E0
4.115999375E0,-6.518943787E-1,3.595373383E0,7.809559937E0
4.126013375E0,-7.000941467E-1,3.669469299E0,8.085436249E0
4.136026375E0,-7.476951599E-1,3.670367432E0,8.407566376E0
