"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.726766458E0,-2.034269714E-1,-6.128256226E-1,9.626481628E0
2.736780458E0,-1.981878662E-1,-6.123765564E-1,9.634864197E0
2.746794458E0,-2.121089172E-1,-6.092330933E-1,9.619745636E0
2.756808458E0,-2.113604736E-1,-6.174659729E-1,9.628277893E0
2.766822458E0,-2.112107849E-1,-6.144721985E-1,9.633816376E0
2.776836458E0,-2.073188782E-1,-6.143225098E-1,9.640402679E0
2.786851458E0,-2.097138977E-1,-6.191125488E-1,9.640552368E0
2.796865458E0,-2.037263489E-1,-6.135740662E-1,9.630822601E0
2.806879458E0,-2.065704346E-1,-6.153703308E-1,9.633966064E0
2.816893458E0,-2.101629639E-1,-6.065386963E-1,9.623338165E0
2.826907458E0,-2.070195007E-1,-6.066883850E-1,9.630223846E0
2.836921458E0,-2.128573608E-1,-6.033952332E-1,9.624835052E0
2.846935458E0,-2.125579834E-1,-6.164181519E-1,9.627679138E0
2.856949458E0,-2.074685669E-1,-6.090834045E-1,9.641749878E0
2.866963458E0,-2.186952209E-1,-6.108796692E-1,9.634415131E0
2.876977458E0,-2.128573608E-1,-6.180647278E-1,9.633666687E0
2.886991458E0,-2.058219910E-1,-6.143225098E-1,9.637408905E0
2.897005458E0,-2.131567383E-1,-6.137237549E-1,9.632768555E0
2.907019458E0,-2.124082947E-1,-6.171665955E-1,9.631421356E0
2.917033458E0,-2.028282166E-1,-6.051914978E-1,9.632768555E0
2.927047458E0,-2.013313293E-1,-6.093827820E-1,9.626331940E0
2.937061458E0,-2.041754150E-1,-6.063890076E-1,9.618697815E0
2.947075458E0,-2.204914856E-1,-6.152206421E-1,9.632319489E0
2.957089458E0,-2.145039368E-1,-6.107299805E-1,9.640702057E0
2.967103458E0,-2.163002014E-1,-6.165678406E-1,9.636510773E0
2.977117458E0,-2.198927307E-1,-6.280938721E-1,9.633067932E0
2.987131458E0,-2.151026917E-1,-6.179150391E-1,9.640851746E0
2.997145458E0,-2.124082947E-1,-6.123765564E-1,9.635313263E0
3.007159458E0,-2.016307068E-1,-6.099815369E-1,9.627230072E0
3.017173458E0,-2.053729248E-1,-6.084846497E-1,9.628277893E0
3.027187458E0,-2.029779053E-1,-6.125262451E-1,9.621392212E0
3.037201458E0,-2.014810181E-1,-6.074368286E-1,9.623487854E0
3.047215458E0,-2.112107849E-1,-6.099815369E-1,9.633666687E0
3.057230458E0,-2.086660767E-1,-6.198609924E-1,9.639055481E0
3.067244458E0,-2.186952209E-1,-6.186634827E-1,9.632768555E0
3.077258458E0,-2.052232361E-1,-6.242019653E-1,9.652527466E0
3.087272458E0,-2.082170105E-1,-6.243516541E-1,9.642648010E0
3.097286458E0,-2.089654541E-1,-6.105802917E-1,9.635762329E0
3.107300458E0,-2.004331970E-1,-6.083349609E-1,9.636211395E0
3.117314458E0,-1.966909790E-1,-6.056405640E-1,9.620943146E0
3.127328458E0,-1.929487610E-1,-6.029461670E-1,9.608968048E0
3.137342458E0,-1.987866211E-1,-6.071374512E-1,9.619595947E0
3.147356458E0,-2.037263489E-1,-6.084846497E-1,9.628128204E0
3.157370458E0,-2.073188782E-1,-6.051914978E-1,9.623487854E0
3.167384458E0,-2.037263489E-1,-6.072871399E-1,9.633217621E0
3.177398458E0,-2.118095398E-1,-6.144721985E-1,9.653126221E0
3.187412458E0,-2.094145203E-1,-6.189628601E-1,9.636810150E0
3.197426458E0,-2.192939758E-1,-6.213578796E-1,9.628128204E0
3.207440750E0,-2.186952209E-1,-6.152206421E-1,9.635163574E0
3.217454750E0,-2.197430420E-1,-6.248007202E-1,9.637109528E0
3.227468750E0,-2.210902405E-1,-6.270460510E-1,9.620643768E0
3.237482750E0,-2.185455322E-1,-6.207591248E-1,9.638905792E0
3.247496750E0,-2.155517578E-1,-6.110293579E-1,9.649084625E0
3.257510750E0,-2.142045593E-1,-6.210585022E-1,9.642049255E0
3.267524750E0,-2.082170105E-1,-6.132746887E-1,9.635013885E0
3.277538750E0,-1.998344421E-1,-6.116281128E-1,9.633816376E0
3.287552750E0,-2.121089172E-1,-6.108796692E-1,9.630223846E0
3.297566750E0,-2.074685669E-1,-6.132746887E-1,9.623487854E0
3.307580750E0,-2.026785278E-1,-5.995033264E-1,9.622290344E0
3.317594750E0,-2.125579834E-1,-6.108796692E-1,9.618847504E0
3.327608750E0,-1.942959595E-1,-6.143225098E-1,9.620045013E0
3.337622750E0,-1.917512512E-1,-6.171665955E-1,9.637558594E0
3.347636750E0,-2.037263489E-1,-6.126759338E-1,9.629774780E0
3.357651750E0,-2.089654541E-1,-6.050418091E-1,9.624984741E0
3.367665750E0,-2.019300842E-1,-6.107299805E-1,9.638307037E0
3.377679750E0,-2.068698120E-1,-6.063890076E-1,9.626481628E0
3.387693750E0,-2.056723022E-1,-6.164181519E-1,9.617649994E0
3.397707750E0,-1.998344421E-1,-6.129753113E-1,9.627379761E0
3.407721750E0,-2.192939758E-1,-6.147715759E-1,9.640702057E0
3.417735750E0,-2.206411743E-1,-6.135740662E-1,9.631720734E0
3.427749750E0,-2.050735474E-1,-6.113287354E-1,9.643695831E0
3.437763750E0,-2.085163879E-1,-6.107299805E-1,9.632918243E0
3.447777750E0,-2.101629639E-1,-6.132746887E-1,9.633516998E0
3.457791750E0,-1.960922241E-1,-6.051914978E-1,9.631271667E0
3.467805750E0,-2.031275940E-1,-6.036946106E-1,9.621841278E0
3.477819750E0,-2.040257263E-1,-6.078858948E-1,9.612710266E0
3.487833750E0,-2.040257263E-1,-6.120771790E-1,9.621691589E0
3.497847750E0,-2.028282166E-1,-6.123765564E-1,9.634265442E0
3.507861750E0,-2.044747925E-1,-6.168672180E-1,9.630223846E0
3.517875750E0,-2.013313293E-1,-6.143225098E-1,9.627828827E0
3.527889750E0,-2.121089172E-1,-6.078858948E-1,9.634714508E0
3.537903750E0,-2.142045593E-1,-6.152206421E-1,9.626182251E0
3.547917750E0,-2.142045593E-1,-6.165678406E-1,9.631720734E0
3.557931750E0,-2.146536255E-1,-6.099815369E-1,9.625882874E0
3.567945750E0,-2.149530029E-1,-6.128256226E-1,9.618099060E0
3.577959750E0,-1.962419128E-1,-6.156697083E-1,9.633966064E0
3.587973750E0,-2.016307068E-1,-6.122268677E-1,9.627978516E0
3.597987750E0,-2.053729248E-1,-6.233038330E-1,9.631121979E0
3.608001750E0,-2.065704346E-1,-6.150709534E-1,9.642348633E0
3.618015750E0,-2.266287231E-1,-6.125262451E-1,9.633217621E0
3.628029750E0,-2.163002014E-1,-6.188131714E-1,9.640252991E0
3.638043750E0,-2.110610962E-1,-5.998027039E-1,9.634265442E0
3.648057750E0,-2.125579834E-1,-6.186634827E-1,9.631571045E0
3.658071750E0,-2.074685669E-1,-6.155200195E-1,9.621092834E0
3.668086750E0,-2.125579834E-1,-6.101312256E-1,9.643246765E0
3.678100750E0,-2.192939758E-1,-6.230044556E-1,9.627828827E0
3.688114750E0,-2.137554932E-1,-6.113287354E-1,9.620344391E0
3.698128750E0,-2.070195007E-1,-6.158193970E-1,9.631720734E0
3.708142750E0,-1.972897339E-1,-6.179150391E-1,9.641600189E0
3.718156750E0,-2.143542480E-1,-6.029461670E-1,9.636211395E0
3.728170750E0,-2.116598511E-1,-6.137237549E-1,9.633067932E0
3.738184750E0,-1.871109009E-1,-6.083349609E-1,9.629924469E0
3.748198750E0,-2.043251038E-1,-6.018983459E-1,9.620344391E0
3.758212750E0,-2.053729248E-1,-6.195616150E-1,9.630373535E0
3.768226750E0,-1.887574768E-1,-5.971083069E-1,9.647587738E0
3.778240750E0,-1.980381775E-1,-6.044430542E-1,9.622589722E0
3.788254750E0,-1.963916016E-1,-6.101312256E-1,9.618548126E0
3.798268750E0,-1.936972046E-1,-6.075865173E-1,9.634415131E0
