"Time (s)"	"X (m/s^2)"	"Y (m/s^2)"	"Z (m/s^2)"
1.266623220E2	-4.001179504E-1	5.821394348E0	1.027313690E1
1.266723370E2	-5.002597046E-1	6.205495605E0	1.006671616E1
1.266823510E2	-4.038601685E-1	6.361471252E0	9.968819733E0
1.266923660E2	-1.478924561E-1	6.347699890E0	1.004441254E1
1.267023800E2	2.320175171E-1	6.272107086E0	1.017524048E1
1.267123950E2	6.242019653E-1	5.939199371E0	1.031250504E1
1.267224090E2	8.457412720E-1	5.416486359E0	1.048943710E1
1.267324230E2	8.117619324E-1	4.915178833E0	1.068777466E1
1.267424380E2	6.629713440E-1	4.419709167E0	1.085183350E1
1.267524530E2	5.972579956E-1	3.806883545E0	1.081830322E1
1.267624670E2	4.816983032E-1	3.349734192E0	1.066502197E1
1.267724810E2	2.700384521E-1	3.226839752E0	1.034229309E1
1.267824960E2	6.107299805E-2	3.198398895E0	9.914183350E0
1.267925100E2	-4.730163574E-2	3.275488586E0	9.479337616E0
1.268025250E2	4.490661621E-2	3.345542908E0	8.958420868E0
1.268125390E2	3.330574036E-1	3.410956879E0	8.398285675E0
1.268225540E2	5.557942200E-1	3.561094666E0	7.871830444E0
1.268325680E2	6.750961304E-1	3.770958252E0	7.500153351E0
1.268425830E2	7.246430969E-1	3.801943817E0	6.944359131E0
1.268525970E2	8.330177307E-1	3.805236969E0	6.675667877E0
1.268626120E2	8.625064087E-1	3.916605377E0	6.505022736E0
1.268726260E2	7.086264038E-1	4.005969543E0	6.372248840E0
1.268826410E2	4.825964355E-1	4.071982269E0	6.486611023E0
1.268926550E2	2.372566223E-1	4.155508575E0	6.760990448E0
1.269026700E2	-9.879455566E-3	4.137845306E0	7.018455048E0
1.269126840E2	-1.960922241E-1	3.966601410E0	7.361092529E0
1.269226990E2	-3.213816833E-1	3.802692261E0	7.555987244E0
1.269327130E2	-3.888912964E-1	3.709885254E0	7.622898102E0
1.269427280E2	-4.303550720E-1	3.648063812E0	7.664810944E0
1.269527420E2	-4.667294312E-1	3.643872528E0	7.555687866E0
1.269627570E2	-5.013075256E-1	3.653452606E0	7.330556030E0
1.269727710E2	-4.881349182E-1	3.707041168E0	7.075336761E0
1.269827825E2	-4.191284180E-1	3.856580200E0	6.730453949E0
1.269927965E2	-3.746708679E-1	4.019890594E0	6.485413513E0
1.270028115E2	-3.041674805E-1	4.153712311E0	6.252647552E0
1.270128255E2	-2.121089172E-1	4.213138733E0	6.005062408E0
1.270228405E2	-1.972897339E-1	4.313130798E0	5.911057892E0
1.270328545E2	-2.836601257E-1	4.553830261E0	5.943091278E0
1.270428695E2	-3.682342529E-1	4.806055756E0	6.025270386E0
1.270528835E2	-3.571572876E-1	4.960833893E0	6.138285370E0
1.270628985E2	-3.314108276E-1	5.086871796E0	6.240223389E0
1.270729125E2	-3.315605164E-1	5.241500244E0	6.492897949E0
1.270829275E2	-3.296145630E-1	5.421126709E0	6.774312744E0
1.270929415E2	-3.432362366E-1	5.542075195E0	7.013665009E0
1.271029565E2	-3.716770935E-1	5.561983795E0	7.312593384E0
1.271129705E2	-3.769161987E-1	5.589227142E0	7.701784058E0
1.271229855E2	-3.258723450E-1	5.690267029E0	8.168812866E0
1.271329995E2	-2.547702026E-1	5.750441895E0	8.665480042E0
1.271430145E2	-2.302212524E-1	5.739963684E0	9.178463287E0
1.271530285E2	-1.692979431E-1	5.683531036E0	9.745633850E0
1.271630435E2	-5.792953491E-2	5.613776093E0	1.036729111E1
1.271730575E2	4.730163574E-2	5.503754883E0	1.084554657E1
1.271830715E2	1.095721436E-1	5.391638031E0	1.114222961E1
1.271930865E2	2.005828857E-1	5.308111725E0	1.120240448E1
1.272031015E2	2.724334717E-2	5.355862427E0	1.116168915E1
1.272131155E2	-3.977229309E-1	5.508395233E0	1.110944778E1
1.272231295E2	-7.479945374E-1	5.708079987E0	1.082863174E1
1.272331445E2	-9.264234924E-1	5.919889526E0	1.070813232E1
1.272431585E2	-9.551637268E-1	6.023773499E0	1.065828598E1
1.272531735E2	-8.622070313E-1	6.009104004E0	1.063463516E1
1.272631875E2	-6.788383484E-1	5.862259369E0	1.069181625E1
1.272732025E2	-3.643423462E-1	5.551206207E0	1.102951401E1
1.272832165E2	-1.104702759E-1	5.119354248E0	1.128458359E1
1.272932315E2	4.715194702E-2	4.557871857E0	1.134745285E1
1.273032455E2	1.462458801E-1	3.911366272E0	1.146944916E1
1.273132605E2	2.844085693E-2	3.399131470E0	1.140508301E1
1.273232745E2	-3.062631226E-1	3.192111969E0	1.125210114E1
1.273332895E2	-6.312373352E-1	3.291355591E0	1.094613739E1
1.273433035E2	-9.006770325E-1	3.420686646E0	1.051862640E1
1.273533185E2	-9.369017029E-1	3.523522797E0	1.007809250E1
1.273633325E2	-7.153623962E-1	3.753444672E0	9.764794006E0
1.273733475E2	-4.339476013E-1	3.966601410E0	9.317973175E0
1.273833615E2	-1.014889526E-1	3.895199890E0	8.803043976E0
1.273933765E2	2.164498901E-1	3.809278564E0	8.453670502E0
1.274033905E2	3.382965088E-1	3.814367981E0	8.188422089E0
1.274134055E2	2.939886475E-1	3.767365723E0	7.966134338E0
1.274234195E2	2.246827698E-1	3.628454590E0	7.810458069E0
1.274334345E2	7.993377686E-2	3.467539215E0	7.751780090E0
1.274434485E2	-9.849517822E-2	3.296594696E0	7.787106628E0
1.274534635E2	-1.767823792E-1	3.167413330E0	7.742649078E0
1.274634775E2	-2.513273621E-1	3.101849670E0	7.610773315E0
1.274734925E2	-3.568579102E-1	3.085832977E0	7.511829071E0
1.274835065E2	-4.131408691E-1	3.131937103E0	7.386389923E0
1.274935215E2	-3.906875610E-1	3.271147614E0	7.186854858E0
1.275035355E2	-2.954855347E-1	3.415297852E0	6.971452789E0
1.275135505E2	-1.398092651E-1	3.512894897E0	6.667734375E0
1.275235645E2	7.394622803E-2	3.648512878E0	6.408922577E0
1.275335795E2	2.317181396E-1	3.828738098E0	6.265071716E0
1.275435935E2	2.591111755E-1	4.020639038E0	6.217021637E0
1.275536085E2	2.764750671E-1	4.119433594E0	6.233188019E0
1.275636225E2	3.141966248E-1	4.170776825E0	6.489604797E0
1.275736375E2	3.879931641E-1	4.221820679E0	6.783743134E0
1.275836515E2	4.264631653E-1	4.195325775E0	7.097341003E0
1.275936665E2	4.224215698E-1	4.117487640E0	7.467221832E0
