"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.611380792E0,2.618333884E-2,4.193187505E-2,4.404067621E-2
2.621393792E0,1.791528799E-2,2.873803861E-2,4.591447860E-2
2.631407792E0,1.552711427E-2,1.695890911E-2,4.490340874E-2
2.641420792E0,2.124971524E-2,1.605785917E-3,4.484987631E-2
2.651433792E0,3.006320819E-2,-1.193925831E-2,4.177502543E-2
2.661446792E0,3.388245031E-2,-2.116018906E-2,3.298046812E-2
2.671460792E0,2.171562798E-2,-2.037181519E-2,1.997566596E-2
2.681473792E0,6.459176540E-3,1.115734968E-2,1.996208355E-2
2.691486792E0,6.967194378E-3,6.909248233E-2,2.116424963E-2
2.701504375E0,4.889929667E-3,1.046225131E-1,1.998633333E-2
2.711518375E0,8.315257728E-4,9.768304974E-2,1.023517456E-2
2.721531375E0,8.166136220E-3,7.137208432E-2,3.454766469E-3
2.731544375E0,1.487084478E-2,2.474001236E-2,1.479202416E-3
2.741557375E0,2.082673833E-2,-3.421571851E-2,-3.531801049E-3
2.751571375E0,3.251983970E-2,-7.915518433E-2,-1.630487386E-3
2.761584375E0,3.144738078E-2,-1.019126996E-1,-4.650512245E-3
2.771597375E0,2.441642620E-2,-9.972647578E-2,-6.032286678E-3
2.781610375E0,1.274885423E-2,-6.486809254E-2,-1.222813129E-2
2.791624375E0,-2.844374627E-3,-2.177568339E-2,-2.242591977E-2
2.801637375E0,-1.006393787E-2,1.557594910E-2,-2.642252669E-2
2.811650375E0,-1.354817022E-2,3.415143117E-2,-2.787767351E-2
2.821663375E0,-6.101705134E-3,4.447571188E-2,-3.301038221E-2
2.831677375E0,9.578973055E-3,3.904100507E-2,-3.889973834E-2
2.841690375E0,1.796579920E-2,2.417683601E-2,-4.216237739E-2
2.851703375E0,1.790841669E-2,1.179299504E-2,-4.365874827E-2
2.861716375E0,2.054334804E-2,8.395068347E-3,-4.273303226E-2
2.871730375E0,2.632555179E-2,1.234122273E-2,-3.560088947E-2
2.881743375E0,2.881507389E-2,1.970873680E-3,-2.523187175E-2
2.891756375E0,3.704366088E-2,-6.529092323E-3,-1.703298092E-2
2.901769375E0,3.178258985E-2,-1.588690840E-2,-1.347313263E-2
2.911783375E0,2.464191243E-2,-1.612940431E-2,-9.346498176E-3
2.921796375E0,2.354522422E-2,-7.237109821E-3,-1.259635389E-2
2.931809375E0,1.453246735E-2,-2.810579259E-3,-1.847085543E-2
2.941823375E0,4.679836333E-3,-4.728562199E-4,-2.143255621E-2
2.951836375E0,-1.336752065E-2,-7.666833699E-5,-2.035760321E-2
2.961849375E0,-2.790331841E-2,-6.918585859E-4,-2.288228087E-2
2.971862375E0,-3.071770445E-2,2.157683950E-3,-2.176627144E-2
2.981876375E0,-3.702673316E-2,-6.642732304E-3,-2.145201713E-2
2.991889375E0,-3.040908836E-2,-4.348638467E-4,-2.385966107E-2
3.001902375E0,-1.706239022E-2,2.279430162E-3,-1.218169928E-2
3.011915375E0,-7.792725228E-3,-3.850900102E-3,-1.142935641E-2
3.021929375E0,-6.779658608E-3,-1.490328647E-2,-1.484912075E-2
3.031942375E0,-1.416578516E-2,-2.907643653E-2,-3.144216165E-2
3.041955375E0,-2.228336595E-2,-2.648971044E-2,-3.773520887E-2
3.051968375E0,-2.710305341E-2,-1.739989407E-2,-4.182576016E-2
3.061982375E0,-3.905771673E-2,-1.081842557E-2,-3.939615935E-2
3.071995375E0,-4.362410679E-2,2.381402999E-3,-3.852771968E-2
3.082008375E0,-3.773292899E-2,1.336055063E-2,-2.981971577E-2
3.092021375E0,-1.994917355E-2,1.411069930E-2,-2.307073213E-2
3.102035375E0,-1.020866074E-2,1.429179497E-2,-1.329959370E-2
3.112048375E0,-1.096934732E-2,8.638798259E-3,-2.985043451E-3
3.122061375E0,-6.756226532E-3,1.725332625E-2,1.870477572E-4
3.132074375E0,-6.831914186E-3,1.761672460E-2,-1.213537995E-3
3.142088375E0,-9.617847390E-3,1.926601864E-2,-5.683919881E-3
3.152101375E0,-2.252411656E-2,1.897311397E-2,-3.346878104E-3
3.162114375E0,-3.418023884E-2,2.425948903E-2,1.513923518E-3
3.172127375E0,-4.478647187E-2,2.585830539E-2,8.202484809E-3
3.182141375E0,-5.247475207E-2,2.436560392E-2,1.097270474E-2
3.192154375E0,-4.976899922E-2,9.193038568E-3,1.751506142E-2
3.202167375E0,-3.274527565E-2,-4.678035621E-3,2.618870884E-2
3.212181375E0,-1.883322373E-2,-2.713269927E-2,2.606069483E-2
3.222194375E0,-4.976261407E-4,-3.491152450E-2,2.222228050E-2
3.232207375E0,5.391644314E-3,-3.404462337E-2,2.556063607E-2
3.242220375E0,-6.960760802E-4,-2.020790428E-2,2.846481279E-2
3.252234375E0,1.977808774E-3,2.140932251E-3,2.852290124E-2
3.262247375E0,-3.854246810E-3,1.818168536E-2,2.781343833E-2
3.272260375E0,-1.664848998E-3,2.633191831E-2,2.507585660E-2
3.282273375E0,5.561904982E-3,3.229233995E-2,2.601142600E-2
3.292287375E0,2.147638053E-2,3.544199839E-2,2.622767538E-2
3.302300375E0,3.484012187E-2,2.712334692E-2,1.527515892E-2
3.312313375E0,4.605128616E-2,1.947939582E-2,4.399675410E-3
3.322326375E0,5.923526734E-2,9.029683657E-3,-1.552755944E-3
3.332340375E0,5.232873559E-2,1.062259451E-2,-9.975852445E-3
3.342353375E0,4.567749798E-2,2.043714188E-2,-1.460335962E-2
3.352366375E0,2.817333490E-2,3.621796891E-2,-1.545930095E-2
3.362379375E0,1.084920578E-2,4.241541028E-2,-1.808571070E-2
3.372393375E0,6.215292960E-3,5.060899630E-2,-1.728717797E-2
3.382406375E0,7.547672838E-3,4.939991981E-2,-1.166338101E-2
3.392419375E0,2.204373479E-2,3.610450402E-2,-6.653509568E-3
3.402432375E0,2.945211530E-2,2.349443734E-2,1.279248390E-3
3.412446375E0,3.752512112E-2,4.429061897E-3,5.829007830E-3
3.422459375E0,3.861834854E-2,-1.244925428E-2,3.222039668E-3
3.432472375E0,2.998627350E-2,-1.211843081E-2,1.096871216E-3
3.442486375E0,2.330094203E-2,-3.965163603E-3,6.004576571E-4
3.452499375E0,1.098176092E-2,-3.869268112E-4,-1.647174358E-4
3.462512375E0,1.578139141E-3,7.166330703E-3,-5.439107772E-3
3.472525375E0,1.157233492E-3,6.408690009E-3,-1.086646318E-2
3.482539375E0,1.502931118E-4,9.983184747E-3,-8.771887049E-3
3.492552375E0,1.215073466E-2,1.886743121E-2,-1.578455325E-3
3.502565375E0,2.464468777E-2,2.411412448E-2,7.322094869E-3
3.512578375E0,3.498404846E-2,2.255849913E-2,1.715476811E-2
3.522592375E0,4.569021985E-2,2.511699870E-2,2.293862030E-2
3.532605375E0,4.284901917E-2,2.979550511E-2,1.709779352E-2
3.542618375E0,3.828782588E-2,3.591864556E-2,2.047015540E-2
