"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.114473792E0,-3.243754578E-1,4.515659637E0,8.501121826E0
2.124486792E0,-3.673361206E-1,4.481231232E0,8.517437897E0
2.134500792E0,-3.894900513E-1,4.420607300E0,8.522078247E0
2.144513792E0,-4.306544495E-1,4.401447144E0,8.540639648E0
2.154526792E0,-4.580474854E-1,4.393663330E0,8.555758209E0
2.164539792E0,-4.471202087E-1,4.381239166E0,8.555309143E0
2.174553792E0,-4.290078735E-1,4.367916870E0,8.559949493E0
2.184566792E0,-4.270619202E-1,4.374952240E0,8.593479767E0
2.194579792E0,-4.342469788E-1,4.377796326E0,8.587941284E0
2.204592792E0,-4.363426208E-1,4.363276520E0,8.582851868E0
2.214606792E0,-4.317022705E-1,4.366270294E0,8.588090973E0
2.224619792E0,-4.037104797E-1,4.405039673E0,8.582851868E0
2.234632792E0,-3.483256531E-1,4.451443176E0,8.616382141E0
2.244645792E0,-2.604583740E-1,4.415517883E0,8.614136810E0
2.254659792E0,-2.083666992E-1,4.403991852E0,8.612789612E0
2.264672792E0,-2.254312134E-1,4.435725861E0,8.578211517E0
2.274685792E0,-2.809657288E-1,4.489763489E0,8.520431671E0
2.284698792E0,-3.228785706E-1,4.518803101E0,8.489296417E0
2.294712792E0,-3.341052246E-1,4.540208588E0,8.498128052E0
2.304725792E0,-3.252735901E-1,4.569397888E0,8.523425446E0
2.314738792E0,-3.198847961E-1,4.568499756E0,8.544830933E0
2.324751792E0,-3.212319946E-1,4.568499756E0,8.580007782E0
2.334765792E0,-3.082090759E-1,4.550387421E0,8.601413269E0
2.344778792E0,-2.942880249E-1,4.516857147E0,8.646170197E0
2.354791792E0,-3.070115662E-1,4.481530609E0,8.705297241E0
2.364804792E0,-3.019221497E-1,4.454586639E0,8.698112183E0
2.374818792E0,-3.032693481E-1,4.426594849E0,8.660989380E0
2.384831792E0,-3.161425781E-1,4.412973175E0,8.651558990E0
2.394844792E0,-3.156935120E-1,4.406536560E0,8.629105682E0
2.404857792E0,-3.363505554E-1,4.401896210E0,8.666078796E0
2.414871792E0,-3.162922668E-1,4.387975159E0,8.661737823E0
2.424884792E0,-3.257226562E-1,4.400998077E0,8.645421753E0
2.434897792E0,-3.403921509E-1,4.411625977E0,8.643326111E0
2.444910792E0,-3.323089600E-1,4.393064575E0,8.603059845E0
2.454924792E0,-3.845503235E-1,4.398603058E0,8.630153503E0
2.464937792E0,-3.830534363E-1,4.381538544E0,8.636590118E0
2.474950792E0,-4.095483398E-1,4.368365936E0,8.667276306E0
2.484963792E0,-4.326004028E-1,4.362228699E0,8.699459381E0
2.494977792E0,-3.971241760E-1,4.356091461E0,8.681796112E0
2.504990792E0,-3.574566650E-1,4.350552979E0,8.685238953E0
2.515003792E0,-3.588038635E-1,4.358636169E0,8.721313934E0
2.525016792E0,-3.662882996E-1,4.373455353E0,8.748407593E0
2.535030792E0,-3.923341370E-1,4.389022980E0,8.727451172E0
2.545043792E0,-4.164340210E-1,4.376748505E0,8.704848175E0
2.555056792E0,-4.315525818E-1,4.347110138E0,8.706494751E0
2.565069792E0,-4.297563171E-1,4.331991577E0,8.681646423E0
2.575083792E0,-4.233197021E-1,4.319417725E0,8.649463348E0
2.585096792E0,-3.984713745E-1,4.292324066E0,8.613388367E0
2.595109792E0,-3.790118408E-1,4.293970642E0,8.635093231E0
2.605122792E0,-3.444337463E-1,4.287983093E0,8.624465332E0
2.615136792E0,-2.835104370E-1,4.286336517E0,8.605305176E0
2.625149792E0,-3.179388428E-1,4.301006012E0,8.635242920E0
2.635162792E0,-3.116519165E-1,4.314178619E0,8.634793854E0
2.645175792E0,-3.019221497E-1,4.323908386E0,8.655001831E0
2.655189792E0,-3.370989990E-1,4.370162201E0,8.663085022E0
2.665202792E0,-2.829116821E-1,4.384532318E0,8.679101715E0
2.675215792E0,-2.065704346E-1,4.362228699E0,8.695717163E0
2.685229792E0,-1.365161133E-1,4.366719360E0,8.655750275E0
2.695242792E0,-1.019380188E-1,4.395459595E0,8.604706421E0
2.705260375E0,-1.478924561E-1,4.422852631E0,8.606502686E0
2.715273375E0,-1.995350647E-1,4.442461853E0,8.586145020E0
2.725287375E0,-2.450404358E-1,4.471501465E0,8.547375641E0
2.735300375E0,-2.764750671E-1,4.466861115E0,8.508157196E0
2.745313375E0,-3.135978699E-1,4.458179169E0,8.508306885E0
2.755326375E0,-3.050656128E-1,4.463268585E0,8.508755951E0
2.765340375E0,-2.782713318E-1,4.471800842E0,8.542435913E0
2.775353375E0,-2.383044434E-1,4.481380920E0,8.590635681E0
2.785366375E0,-1.957928467E-1,4.478087769E0,8.624465332E0
2.795379375E0,-2.079176331E-1,4.478836212E0,8.685388641E0
2.805393375E0,-2.080673218E-1,4.434827728E0,8.760831757E0
